rep,oh yeah exactly still yeah i know so that's fair so alex what i'll do is i know you got a balance i'll send you the proposal i've also put everything in writing and i'll tell you what page is they are n so it will be like an agreement right to review it let me know if you have any questions and we'll take it from there.,
prospect,um this week yeah you want a good good question you're not gonna hear from me this week because i have an event coming on thursday that last thursday friday saturday here so let's say next tuesday you're back with me.,
rep,so i will send you a thank you note my email and details you can see i am i'm going to be a contact do you think we want to kind of set up a follow-up in two to three weeks to just kind of go over if there are any questions anything for that matter to plan the next steps around us.,
prospect,yeah possibly go ahead and send me that that email and i'll get back to you after i have some time to sort of absorb this and maybe talk to the other folks.,
rep,great thank you john i will send you the details and we'll connect in a couple of weeks.,
rep,yeah yeah so we call it and we use it in this particular email this is a search abandonment email for one of the travel companies one of the biggest travel companies in india so if a user has searched for a flight and he has not booked the flight in 30 minutes a very personalised hyper personalized email is sent to the user we have a case study on this which is published on our site i can share it with you.,
rep,there is a one time integration cost and there is account management and services these three are the moving pieces that define a particular pricing what i'll do is post this call i'll send it across to you i'll send it across a few questions and post that if you if you can just provide me with those you know values in terms of your monthly active users and your contacts registered base i will be able to give you an approximate pricing around it.,
prospect,and give me a pricing based on if you exceeded the number of events.,
rep,okay okay understood so the next steps for us would be i'll send it ac- send across those questions to you and manpreet also will be sending across few collaterals post that what we can do is if at all we can have a you know short call scheduled this week just for a 10 to 15 minutes where we can discuss the pricing and move ahead then.,
prospect,so send me the email.,
rep,sure i'll i'll send across the email by today itself and then we'll await to hear back from you and take this forward we are more than excited to you know have this engagement and association with you started do let us know if you have any queries from us.,
prospect,gotcha so that makes that make sense you know i know we're running out of time but i'm so i'm interested in digestion can you share at least whether it's this version or another version of the deck that actually has some of this information so that i can i can dig into a little bit more as well as i want to get in and i wanted to spend some time with rick and then the shank head of what his what his thought process was based on the conversations they had with you guys and see whether there's some other other avenues that we might be able to kind of play around with and as well do you also have anything about your merchandising workbench.,
rep,sure and i'll definitely take you through the that whenever you have time i'll probably need about an hour to do that effectively and simply reporting both for your autofill for your search and your category pages where you can go and drill down by every query by every product type and see how each query and product is actually performing and you will get some fairly comprehensive report like this is a high-level overview of all your top searches top clip products top order products and zero results and then you also can go and deep dive into every single query and see how every query is actually performing for you like you can go and look for okay a jacket is a query you have high-level business metrics here but then you can drill down to see what is this query associated to from a product standpoint so that suddenly one week this conversion drops from three point seven eight four to three point two eight you know what products went out of stock which is why this query actually dropped its performance so you can do some fairly comprehensive analysis with the reporting we give you and .,
prospect,sure sure that's  what i plan to do i'm gonna i'm gonna introduce you folks to to the folks in our purchasing group and our procurement group that's over supply chain and they'll they'll reach out to their their specialists in those areas.,
rep,this interesting i appreciate the all that context i know we're going a little bit at the time yeah what i might do is i'll send over some additional thoughts whether today or tomorrow especially touching the ecom space.,
rep,i'll send that over and then i'll follow up with you probably in three weeks we can get time on the calendar in four weeks and then we can just go back.,
rep,all right sure so what i'll do darren is right after this call i'll summarize on a couple of things that we discussed now and send you maybe a couple of links which is nothing but certain solution articles that you could always refer to you know maybe during the set up or let me also share certain sets of training documents because once maybe charles has helped you set up with the system you could make use of these training links to you know get yourself accustomed with the system to.,
prospect,okay that sounds like a great next step and a route i don't know if you want to keep the either contact between us and they will figure out you know how to pull off that meeting in the 11.,
rep,you too and pleasure.,
rep,sure i think we can speak to our core engineering team that works with aws to you know kind of come up with a way to you know have archived it or you know even delete it from the aws servers.,
rep,perfect sounds good so so so when can me touch base with you again.,
rep,alright alright perfect so me and jeku will touch base.,
rep,so so yeah so so what i mean so i think the best next steps would be is you know so probably just let us know a good time where we can you know go ahead and schedule a call you know with the rest of your team.,
rep,got it's perfect so if that works and that's fantastic i do apologize alex not only was i late we did a terrible job in the study here so sorry about that not not usually an unlock styles i wanna assure you that so if you're ok we'll send you a calendar invite for the same time on thursday and we'll do a study on g dot and at&t dot as a punishment will do twice top of the sites and and will give you the same report again what i also want to do in that meeting is also walk you through once we've done the analysis and the study that gives you an idea maybe it validates maybe you maybe you don't know or learn anything new but if it validates independently of what the thing that you already might be you might be already aware of what i want to then do is also give you an idea of how we solve some of these problems what does the approach look like from unboxd perspective and what also do we do in terms of technology and the differentiator so i can walk you through all of that as well.,
rep,sure absolutely john so what i can do is i can give you the procurement point of contact you know with whom we are working as well as you know i can give some some names of the stakeholders with whom we are working currently so we already have the msa in place  so there is nothing that stops us from to work with honeywell so honeywell is already a customer for us and i can i can share more details you know with you.,
rep,yeah you know what that sounds like a plan jesse so when would you like me to you know schedule this setup call for you.,
rep,i think the best thing we would be to follow up like i said i'll be brief as a team here and then work with amanda to follow up with a next step son working with gotham coming up how can also you noticed any other further questions on the fresh sales side quick that's always. enough so i will probably send an email as well soon after the call okay good and so i i will send an email soon after our call in which you know you can always come back if you think you have any queries you can also probably you know go on to the signup form on fresh sales and just try out the system to see how it's coming along to your requirements and then you can always come back to me if you need any assistance.,
rep,so what we'll do is after this call we will send you the same presentation i used for this call as an email plus i'll also send you an implementation document. you can go and review all the information and if you have any questions you can let us know and then we can probably get on a call again next week if you i can get an engineer on the call as well. and if you have any more technical questions you can ask that person and then we can go ahead accordingly.,
rep,absolutely pranil we will be in touch with you and the last thing is what we also do with customers in similar situations where and they are in contract even if they share their existing numbers is we run an a/b test right in parallel with whatever the solution they have and let them choose which is better right which which completely comes from the conversion rate if you see enough in conversion rate while running a parallel a/b test against whatever your existing solution is you choose us you don't like it or you don't see enough conversion increase there's there is no contractual binding with unbxd.,
rep,okay great i'll send you a follow up email pranil.,
rep,so we have a lot of other elements from that as well if that's what you're interested in is that more closer to your team's purview and not that easy search we can set up another 15 to 20 minutes of your time maybe next week or the week after to see if you will be interested in something like that for your category pages not search but for your category pages for example.,
prospect,we'll go review it and then if if and then we'll look to if we're interested set up more time with you and i think that's.,
rep,okay no problem so what we'll do is we will send you the decks that we showed and again this is just for us to let you know what the opportunities are and we will await your feedback.,
rep,so yeah so what we can do is we can send you this deck do review that if you have any questions we can set up a follow-up call i'm actually based in new york so in case you want us to meet any of your other team members and do a demo in person i'm happy to do that as well and then we can discuss next steps also.,
rep,okay thanks again mark thanks a lot for your time ashish will send you this deck and we look forward to hear from you next steps.,
prospect,yeah that's what i do it that one oh but the av testing has one so listen i really do call this a new discovery call that i'm doing and if you don't mind following up with some opening clips in order to set up poc what you required for me a little bit of breakdown the implementation time for us in an email it can help me start carrying the conversation internally .,
rep,so what i'll do is i send out the support we have prepared for you you can obviously share this internally and let us know and if there are certain customers and you are industry you want you want to quickly talk to just to figure out how their experience has been with us we can arrange for some references as well and then you could let us know what could be a good time period for you guys to probably take this up as a project and i'll also do one thing i'll probably send you some comparison between solar and us essentially what solar gives you by default what is that you could do with solar and what are the challenges of working with solar and how we can help you overcome those challenges so when somebody in it looks at it poc will probably be going through that day in and day out they can quickly relate to some of the use cases we are talking about and and it's yeah if it makes sense to them if they want us to do a more deep technical call happy to engage with them and talk to them about the back end technology because everyone talks about relevancy and machine learning it's more of a bad word out there but we can probably break it down and help them understand as to what exactly are the use cases we're solving for.,
rep,yeah absolutely i probably the same document that we sent over you can review that passed on with the team and and then we can reconnect whenever you think the time is right.,
prospect,if i could just interrupt in one second here for you um i see great great opportunity at what and what you're sharing with me and i appreciate really what you've put together i know we've got we've got kind of a hard stuff here a check required  a little bit beyond do you have any do a send us the summary that you put have together and b i'd like to set up a time to call you back to kind of discuss what your what your model is what your what plans do you have you.,
rep,we can do that i'll send you this deck and maybe you can you can suggest me on the timings whats best you've with you answer just couple of slots for tomorrow and day after and we can do that.,
rep,cleveland ohio okay i can i can maybe see if any of my representative is in the area and also maybe sort of something face to face but obviously we can surely set up something telephonic and we can continue this discussion because i would still need another half an hour to 45 minutes to complete the remaining part of the piece of the presentation.,
rep,10 o'clock your time great i will send an invite.,
rep,half an hour okay okay we'll set as half an hour thats fine i will do that.,
rep,yes i will send you the doc and i'll also send your data requesting if you can share some site statistics then i'll also like to present some numbers in terms of what is the kind of revenue increase that you can see post unbxd.,
rep,so that is typically what we wanted to talk about in the cs report then what we've also done is we've kind of documented all the feedbacks and suggestions that various users gave us some of them we already spoke about the entire guided autocomplete feature the the showing those relevant basically the relevancy when it comes to longer tail queries and all of that have come we've kind of compiled here we'll share this report with you so that you can review this and.,
